Verträglichkeit,Histamin,Andere Amine,Liberator,Blocker,Zutat,Anmerkungen,
0,,,,,Glucose,"Glucosesirup kann sehr viel Fructose enthalten (nur begrenzt verträglich),
reine Glucose hingegen nicht.",
0,,,,,Glucosesirup,"Glucosesirup kann sehr viel Fructose enthalten (nur begrenzt verträglich),
reine Glucose hingegen nicht.",
0,,,,,Honig,Umstritten. Uneinheitlich. Enthält Benzoesäure.,
0,,,,,"Invertzucker, Invertose, Invertzuckersirup",,
0,,,,,Karamell,,
0,,,,,Kristallzucker,"Sollte trotzdem sparsam eingesetzt werden, weil allgemein ungesund.",
1,,,,,"Künstliche Süssstoffe, künstliche Süßstoffe",Sucralose ist verträglich.,
0,,,,,Lactose,,
0,,,,,Maltose,,
2,,,,,Malzextrakt,,
0,,,,,"Malzzucker, rein",,
0,,,,,Milchzucker,,
?,,,?,,Palmzucker,,
0,,,,,Rohrzucker,"Sollte trotzdem sparsam eingesetzt werden, weil allgemein ungesund.",
0,,,,,Rübenzucker,"Sollte trotzdem sparsam eingesetzt werden, weil allgemein ungesund.",
0,,,,,Saccharose,"Sollte trotzdem sparsam eingesetzt werden, weil allgemein ungesund.",
0,,,,,"Sorbit, Sorbitol, Glucitol, Hexanhexol, E420","Abführend, harntreibend. Unverträglich bei Sorbit-Intoleranz und
hereditärer (vererbter) Fructoseintoleranz.",
0,,,,,"Stevia (Stevia-Blätter, Steviosid flüssig/pulverförmig)",,
2,,,?,,"Süssholz, Süßholz",,
0,,,,,Traubenzucker,"Glucosesirup kann sehr viel Fructose enthalten (nur begrenzt verträglich),
reine Glucose hingegen nicht.",
0,,,,,"Xylit, Xylitol, Birkenzucker, E967",,
0,,,,,Zucker,"Sollte trotzdem sparsam eingesetzt werden, weil allgemein ungesund.",
0,?,,,,Alkoholessig,"Histaminärmster Essig, aber nicht histaminfrei. Sparsam verwenden. Auf
Zusatzstoffe achten!",
?,,,,,Anis,,
2,,,,,Bouillon,"Fast immer mit unverträglichen Zutaten (Glutamat/Hefeextrakt/Würze/Proteinhydrolysat/Eiweißhydrolysat,
Fleischextrakte, unverträgliches Gemüse)",
0,?,,,,Branntweinessig,"Histaminärmster Essig, aber nicht histaminfrei. Sparsam verwenden. Auf
Zusatzstoffe achten!",
2,,,,,"Brühe, Brühwürfel/-pulver","Fast immer mit unverträglichen Zutaten (Glutamat/Hefeextrakt/Würze/Proteinhydrolysat/Eiweißhydrolysat,
Fleischextrakte, unverträgliches Gemüse)",
2,,,L,,Cumin,,
0,,,,,Curcuma,,
2,,,,,Curry,,
3,H,?,,,"Essig: Aceto Balsamico, Balsamessig",,
0,?,,,,"Essig: Alkoholessig, Branntweinessig, Weingeistessig,
Essigessenz","Histaminärmster Essig, aber nicht histaminfrei. Sparsam verwenden. Auf Zusatzstoffe achten!",
1,H,?,,,Essig: Apfelessig,Auf Zusatzstoffe achten!,
3,H,?,,,Essig: Rotweinessig,,
3,H,?,,,Essig: Weissweinessig,,
0,?,,,,Essigessenz,"Histaminärmster Essig, aber nicht histaminfrei. Sparsam verwenden. Auf
Zusatzstoffe achten!",
2,?,?,?,,Fleischextrakt,,
0,,,,,Gelbwurz (Curcuma longa),,
0,,,,,"Gewürznelken, Nelken","Kleine Mengen gut verträglich, für grössere Mengen fehlen Erfahrungswerte.",
2,,,L,,Hefeextrakt,Chemische Umwandlung zu Glutamat.,
1,,,,,Ingwer,kleine Mengen verträglich.,
0,,,,,Kardamom,"Nur sparsam verwenden! Verschiedene Pflanzenarten und Sorten werden als Kardamom bezeichnet und als Gewürz verwendet. Unklar, ob alle gleich gut
verträglich.",
0,,,?,,"Koriander, Echter Koriander, Gewürzkoriander, (Coriandrum
sativum)",Nur kleine Mengen sind gut verträglich!,
2,,,L,,Kreuzkümmel (Cuminum cyminum),,
2,,,L,,Kumin,,
0,,,,,Kümmel: Echter Kümmel (Carum carvi),"Positive Wirkung: gut bei schwer verdaulichen Speisen. Vorsicht: im EN und
FR bedeutet ""cumin"" Kreuzkümmel (unverträglich)! Nicht mit Kreuzkümmel verwechseln!",
0,,,,,Kurkuma,,
?,,,,,"Lorbeerblätter, Echter Lorbeer (Laurus nobilis), Edler Lorbeer,
Gewürzlorbeer",Kleine Mengen gut verträglich,
1,,,,,Mohnsamen,kleine Mengen verträglich.,
1,,,,,Muskatnuss,kleine Mengen verträglich.,
0,,,,,"Nelken, Gewürznelken","Kleine Mengen gut verträglich, für grössere Mengen fehlen Erfahrungswerte.",
0,,,,,"Paprikapulver, mild",,
2,,,,,"Paprikapulver, scharf",Reizt den Darm,
2,,,,,"Pfeffer, schwarz",Sehr kleine Mengen verträglich,
2,,,,,"Pfeffer, weiß",Sehr kleine Mengen verträglich,
0,,,,,"Quendel, Thymian, Echter Thymian (Thymus vulgaris)",,
0,,,,,Schwarzkümmel (Nigella sativa),Positive Wirkung: antiallergische Eigenschaften,
2,,,L,,"Senf, Senfkörner, Senfsamenpulver",Samen der Senfpflanze und daraus hergestellte Erzeugnisse,
3,,,,,Sojasauce,,
?,,,,,Sternanis,,
0,,,,,"Thymian,  Echter Thymian (Thymus vulgaris), Quendel",,
1,?,,?,,"Vanille, Vanilleschoten, Vanillepulver, Vanillezucker","In kleinen Mengen verträglich. Fermentation! Evtl. Spuren von Sulfit? (vgl.
Zusatzstoffe > Vanillin)",
1,?,,?,,Vanilleextrakt,"Aus fermentierten Schoten, alkoholhaltig.",
0,,,,,Wacholderbeeren,,
0,?,,,,Weingeistessig,"Histaminärmster Essig, aber nicht histaminfrei. Sparsam verwenden. Auf
Zusatzstoffe achten!",
2,,,,,"Würze, Speisewürze, Suppenwürze (pflanzliches
Eiweißhydrolysat)","Aus pflanzl. Eiweiss gewonnen, Aroma erinnert an Fleischbrühe. Glutamat, Histamin.",
0,,,,,"Zimt, Zimtstangen, Zimtpulver",,
1,,,?,,Heilquellen-Wasser mit viel Schwefel/Kohlensäure/Fluor/Iod,,
0,,,,,Leitungswasser,,
0,,,,,Mineralwasser ohne Kohlensäure,,
3,,,L,B,"Alkohol, rein (Ethanol)",,
3,H,A,L,B,Alkoholhaltige Getränke,,
2,H,A,L,B,Bier,,
3,H,A,L,B,Champagner,,
3,,,L,B,"Ethanol, Ethylalkohol",,
2,H,A,L,B,Rhum,,
2,?,?,L,B,"Schnäpse, klar (farblos)",,
3,H,A,L,B,"Schnäpse, nicht klar (nicht farblos)",,
3,H,A,L,B,Sekt,,
2,?,?,L,B,"Spirituosen, klar (farblos)",,
3,H,A,L,B,"Spirituosen, nicht klar (nicht farblos)",,
3,H,A,L,B,Wein,,
1,,?,L,B,"Wein, histaminfrei (<0.1 mg/l)","Enthält wie alle Weine immer noch Alkohol und Sulfit. Zum Kochen
hingegen gut verträglich!",
3,H,A,L,B,Wein: Rotwein,,
2,H,A,L,B,Wein: Schilcherwein,,
2,H,A,L,B,"Wein: Weisswein, Weißwein",,
2,H,A,L,B,"Weinbrand, Brandy",,
1,H,?,?,,Brennnesseltee,,
0,,,,,Eisenkraut-Tee,Wirkt beruhigend auf Darm und Nerven,
1,,,,B,Grüntee,,
0,,,,,Kamillentee,,
1,,,?,,"Kräuterteemischungen aus Heilkräutern, z.B.
Alpenkräutertee, Hustentee, Brusttee",Unverträgliche Zutat noch nicht identifiziert,
0,,,,,Lindenblütentee,,
1,,,,B,Mate Tee,,
0,,,,,Pfefferminztee,,
0,,,,,Rooibostee,"Vorsicht: Meist werden unter diesem Namen auch Teemischungen mit
Rooibos und unverträglichen Zutaten verkauft.",
0,,,,,Salbeitee,,
2,H,,,B,Schwarztee,,
0,,,,,Verveine-Tee,Wirkt beruhigend auf Darm und Nerven,
0,,,,,Cranberry Nektar,,
2,,,L,,Orangensaft,,
2,,,L,,Tomatensaft,,
1,,,,,Coca-Cola,Siehe auch unter Koffein und Kohlensäure,
1,,,,,Colagetränke,Siehe auch unter Koffein und Kohlensäure,
2,,,?,B,Energy-Drinks,Theobromin hemmt die DAO,
1,,,,,Espresso,"Etwas besser verträglich als Kaffee, aber Koffein regt Nerven & Darm an, was
mastzellaktivierend sein kann.",
1,,,,,Kaffee,"Koffein regt Nerven & Darm an, was mastzellaktivierend ist.",
1,,,,,Hafer-Drink,"Oft leicht histaminhaltig, da enzymatisch fermentiert.",
1,,,,,"Reismilch, Reis-Drink","Oft leicht histaminhaltig, da enzymatisch fermentiert.",
2,,,,,"Sojamilch, Soja-Drink",,
2,,,,,"heisse Schokolade, heiße Schokolade",,
0,,,,,Holunderblütensirup,,
2,,,,,Kakaogetränke,,
1,,,,,Limonadengetränke,Je nach Inhaltsstoffen mehr oder weniger verträglich,
2,,,,,Ovomaltine,,
2,,,,,Schokoladengetränke,,
2,,,L,,"2-Phenylphenol, E231",,
?,,,,,"2-tert-Butylhydrochinon, tert-Butylhydrochinon, TBHQ, E319",,
2,,,L,,"Acid Red 1, E128",,
0,,,,,"acidum hydrochloricum, Salzsäure, Chlorwasserstoffsäure,
E507",,
1,,,?,,"Agar-Agar, E406",,
2,,,L,,"Alginat, Propylenglycolalginat, E405",,
2,,,L,,"Alginsäure, Algin, E400",,
2,,,L,,"Allurarot AC, E129, Food Red 17, CI 16035",In mehreren Ländern verboten,
0,,,,,"alpha-Tocopherol, Vitamin E, E307",,
?,,,,,"Aluminium, E173",Aus anderen Gründen ungesund.,
2,,,L,,Amaranth E123,"Gemeint ist der Azofarbstoff Amaranth (mit ""h"" geschrieben), ein künstlicher Lebensmittelfarbstoff. Nicht verwechseln mit dem Pseudogetreide Amarant (meist ohne ""h"" geschrieben) aus der Pflanzengattung Amaranthus.",
2,,,L,,"Ammoniumalginat, E403",,
0,,,,,"Ammoniumcarbonat, E503",,
1,,,?,,"Ammoniumcitrat, Triammoniumcitrat, E380",,
0,,,,,"Anthocyane, E163",,
0,,,,,"Apfelsäure, Äpfelsäure, E296",,
?,,,,,"Apo-Carotinal, Beta-Apo-8-Carotinal, E160e, 8′-Apo-β-caroten-
8′-al, C.I. 40820, C.I. Food Orange 6",,
?,,,,,"Apo-carotinsäureethylester, beta-Apo-8′-
carotinsäureethylester, E160f",,
1,,,,,"Aroma, Aromen, Aromastoffe","Dahinter kann sich alles mögliche verstecken. Meist nicht besonders gut
verträglich.",
0,,,,B,"Ascorbinsäure, E300","Senkt den Histaminspiegel, ist aber gleichzeitig ein schwacher DAO-
Hemmer. Gut bei MCAS, schlecht bei HIT?",
0,,,,,"Ascorbylpalmitat, E304",,
2,,,L,,"Azophloxin, E128",,
2,,,L,,"Azorubin, Karmesin, E122",,
2,,,L,,"Benzoesäure und deren Salze = Benzoate, E210 bis E213",,
2,,,L,,"Benzoesäure, E210",,
0,,,,,"Betanin, Betanoin, Betenrot, Beetenrot, E162",,
0,,,,,"Bienenwachs, E901",,
?,,,,,"Borax, Tinkal, Natriumborat, Dinatriumtetraborat-Decahydrat,
E285",Sehr giftig. Nur in Kaviar zugelassen.,
?,,,,,"Borsäure, E284","Sehr, giftig, besonders besorgniserregend, fortpflanzungsgefährdend!",
2,,,L,,"Braun FK, E154",,
2,,,L,,"Braun HT, Braun HTK, E155, C.I. 20285, C.I. Food Brown 3",,
3,,,L,,"Brillantschwarz BN, Brillantschwarz FCF, Schwarz PN, E151,
C.I. 28440",,
2,,,L,,"Butylhydroxyanisol, BHA, E320",,
2,,,L,,"Butylhydroxytoluol, Butylhydroxytoluen, BHT, E321",,
0,,,,,"Calciumacetat, Calciumethanoat, Kalziumacetat, E262",,
2,,,L,,"Calciumalginat, E404",,
0,,,,,"Calciumascorbat, Calciumdiascorbat, Calcium-L-Ascorbat,
E302",,
2,,,L,,"Calciumbenzoat, E213",,
0,,,,,"Calciumcarbonat, Kalziumkarbonat, Kalk, E170",,
1,,,?,,"Calciumcitrat, E333",Oft gut verträglich.,
2,,,L,,"Calciumdiglutamat, Calciumglutamat, E623",,
2,,,L,,"Calciumhydrogensulfit, E227",,
0,,,,,"Calciumlactat, Kalziumlaktat, E327",,
1,,,?,,"Calciumphosphate, E340",,
2,,,?,,"Calciumpolyphosphat, E452",,
?,,,,,"Calciumpropionat, Calciumdipropionat, E282",,
2,,,L,,"Calciumsorbat, E203",,
2,,,L,,"Calciumsulfit, E226",,
?,,,,,"Canthaxanthin, E161g",,
0,,,,,"Capsanthin, Paprikaextrakt, E160c",,
2,,?,?,,"Carob, Carobpulver",,Aus dem Fruchtfleisch des Johannisbrotbaums gewonnen.
0,,,L,,"Carotine, Beta-Carotin, β-Carotin, E160a",,
2,,,L,,"Carrageen, Carragaheen, E407, E407a",,
2,,,L,,"Carubin, Carubenmehl, E410",,Aus den Samen des Johannisbrotbaums gewonnen. Verdickungsmittel.
0,,,,,"Cellulose, Cellulosepulver, mikrokristalline Cellulose, E460",,
0,,,,,"Celluloseethylether, Ethylcellulose, Ethylzellulose, E462",,
0,,,,,"Cellulosemethylether, Methylcellulose, Methylzellulose, E461",,Kann in grösseren Mengen abführend wirken.
2,,,,,"Chinin (z.B. in Bitterlemon, Tonic Water)",,
3,,,L,,Chinolingelb,,
3,,,L,,"Chinolingelb, E104",,
1,,,,,Citronensäure E330,,"Verträglichkeit umstritten. Aus Schimmelpilz hergestellt. Hat nichts mit
Zitronen zu tun, sondern heisst bloss so."
2,,,L,,"Cochenille, Karmin, E120",,
2,,,L,,"Cochenillerot A, Ponceau 4R, E124",,
0,,,,,"Curcumin, E100",,
0,,,,,"delta-Tocopherol, Vitamin E, E309",,
?,,,,,"Dimethyldicarbonat, Dimethylpyrocarbonat,
Pyrokohlensäuredimethylester, E242",,
?,,,,,"Dimeticon, Dimethicone, Dimethylpolysiloxan,
Polydimethylsiloxan, E900",,
2,,,L,,"Dodecylgallat, E312",,
0,,,,,"E100, Curcumin",,
1,,,L,,"E101a, Riboflavin-5-Phosphat",,
3,,,L,,"E102, Tartrazin",,
3,,,L,,"E110, Gelborange S",,
0,,,,,"E1103, Invertase, β-Fructofuranosidase, Saccharase",,
?,,,,,"E1105, Lysozym, Muramidase",,
2,,,L,,"E120, Karmin, Cochenille",,
?,,,,,"E1200, Polydextrose",,Kann in grösseren Mengen abführend wirken.
1,,,?,,"E1201, Povidon, Polyvinylpyrrolidon, Polyvidone, 1-Vinyl-2-
pyrrolidinon-Polymer, PVP, 1-Ethenyl-2-pyrrolidon- Homopolymer",,
1,,,?,,"E1202, Polyvinylpolypyrrolidon",,
2,,,L,,"E122, Karmesin, Azorubin",,
2,,,L,,"E123, Amaranth",,"Gemeint ist der Azofarbstoff Amaranth (mit ""h"" geschrieben), ein künstlicher Lebensmittelfarbstoff. Nicht verwechseln mit dem Pseudogetreide Amarant (meist ohne ""h"" geschrieben) aus der Pflanzengattung Amaranthus."
2,,,L,,"E124, Cochenillerot A, Ponceau 4R",,
3,,,L,,"E127, Erythrosin",,
2,,,L,,"E128, Azophloxin, Rot 2G",,
2,,,L,,"E129, Allurarot AC, Food Red 17, CI 16035",,In mehreren Ländern verboten
2,,,L,,"E131, Patentblau V",,
2,,,L,,"E132, Indigokarmin, Indigocarmin, Indigotin I",,
?,,,?,,"E133, Brillantblau FCF",,
0,,,,,"E140, Chlorophylle, Chlorophylline",,
0,,,,,"E141, kupferhaltige Komplexe der Chlorophylle und
Chlorophylline",,
?,,,?,,"E142, Grün S, Brillantsäuregrün BS, C.I. 44090, C.I. Acid Green
50, Acilangrün BS, Lissamingrün BN oder B, Wollgrün B, Acid Brilliant Green BS",,
0,,,,,"E150, E150a: Zuckercouleur",,
0,,,,,"E150b, Sulfitlaugen-Zuckerkulör",,Möglicherweise etwas weniger gut verträglich als E150?
0,,,,,"E150c, Ammoniak-Zuckerkulör",,Möglicherweise etwas weniger gut verträglich als E150?
0,,,,,E150d: Ammoniumsulfit-Zuckerkulör,,Möglicherweise etwas weniger gut verträglich als E150?
3,,,L,,"E151, Brillantschwarz BN, Brillantschwarz FCF, Schwarz PN,
C.I. 28440",,
0,,,,,"E153, Pflanzenkohle, Holzkohle",,
2,,,L,,"E154, Braun FK",,
2,,,L,,"E155, Braun HT, Braun HTK, C.I. 20285, C.I. Food Brown 3",,
0,,,L,,"E160a, Carotine, Beta-Carotin, β-Carotin",,
2,,,L,,"E160b, Bixin, Norbixin, Annatto",,
0,,,,,"E160c, Capsanthin, Paprikaextrakt",,
?,,,,,"E160d, Lycopin, Lycopen, Leukopin, C.I. 75125, C.I. Natural
yellow 27",,
?,,,,,"E160e, Beta-Apo-8-Carotinal, 8′-Apo-β-caroten-8′-al, trans-β- apo-8′-Carotinaldehyd (C30), C.I. 40820, C.I. Food Orange 6",,
?,,,,,"E160f, Apo-carotinsäureethylester, beta-Apo-8′- carotinsäureethylester, β-Apo-8′-carotinsäureethylester, C.I.
40825, C.I. Food Orange 7",,
?,,,,,"E161b, Lutein",,
?,,,,,"E161g, Canthaxanthin, C.I. 40850, C.I. Food Orange 8",,
0,,,,,"E162, Betanin, Betanoin, Betenrot, Beetenrot",,
0,,,,,"E163, Anthocyane",,
0,,,,,"E170, Calciumcarbonat, Kalziumkarbonat, Kalk, kohlensaurer
Kalk",,
0,,,?,,"E171, Titandioxid, Titan(IV)-oxid, Titansäureanhydrid, Rutil,
Anatas, Brookit, C.I. Pigment White 6, C.I. 77891",,Nur einzelne Personen mit Multiple Chemical Sensitivity meldeten bisher diesen Stoff als unverträglich.
0,,,,,"E172, Eisenoxide, Eisenhydroxide",,
?,,,,,"E173, Aluminium",,Aus anderen Gründen ungesund.
?,,,,,"E174, Silber",,
0,,,,,"E175, Gold",,
2,,,L,,"E180, Litholrubin BK, Rubinpigment BK, 4B-Toner, C.I. 15850:1,
C.I. Pigment Red 57:1",,Nur zugelassen in Käserinde
2,,,L,,"E200, Sorbinsäure",,
2,,,L,,"E202, Kaliumsorbat",,
2,,,L,,"E203, Calciumsorbat",,
2,,,L,,E210 bis E213: Benzoesäure und deren Salze = Benzoate,,
2,,,L,,"E210, Benzoesäure",,
2,,,L,,"E211, Natriumbenzoat",,
2,,,L,,"E212, Kaliumbenzoat",,
2,,,L,,"E213, Calciumbenzoat",,
2,,,L,,"E214, E215, Ethylparaben",,
2,,,L,,"E218, E219, Methylparaben",,
2,,,L,,"E220 - E228, Sulfite",,
2,,,L,,"E220, Schwefeldioxid",,
2,,,L,,"E221, Natriumsulfit",,
2,,,L,,"E222, Natriumhydrogensulfit, Natriumbisulfit",,
2,,,L,,"E223, Natriumdisulfit, Natriummetabisulfit",,
2,,,L,,"E224, Kaliumdisulfit, Kaliummetabisulfit",,
2,,,L,,"E225, Kaliumsulfit",,
2,,,L,,"E226, Calciumsulfit",,
2,,,L,,"E227, Calciumhydrogensulfit",,
2,,,L,,"E228, Kaliumhydrogensulfit",,
2,,,L,,"E231, Orthophenylphenol",,
2,,,,,"E232, Natriumorthophenylphenolat",,
?,,,,,"E234, Nisin",,
?,,,,,"E235, Natamycin",,
2,,,L,,"E239, Hexamethylentetramin, Urotropin, Methenamin,
Formin, Hexamin",,
?,,,,,"E242, Dimethyldicarbonat, Dimethylpyrocarbonat,
Pyrokohlensäuredimethylester",,
?,,,,,"E249, Kaliumnitrit, Salpetrigsaures Kalium",,
0,,,,,"E250, Natriumnitrit",,
?,,,,,"E251, Natriumnitrat, Natronsalpeter, Chilesalpeter,
Salpetersaures Natrium",,
?,,,,,"E252, Kaliumnitrat, Salpeter, Kalisalpeter, Bengalsalpeter",,
0,,,,,"E260, Essigsäure, Eisessig",,
0,,,,,"E261, Kaliumacetat, Kaliumethanoat",,
0,,,,,"E262, Natriumacetat, Natriumethanoat",,
0,,,,,"E263, Calciumacetat, Calciumethanoat, Kalziumacetat,
Calciumdiacetat",,
0,,,,,"E270, Milchsäure, 2-Hydroxypropansäure, 2-
Hydroxypropionsäure, acidum lacticum",,Chemisch reine Milchsäure ist kein Problem. Bei der mikrobiellen Milchsäuregärung können hingegen biogene Amine entstehen.
?,,,,,"E280, Propionsäure, Propansäure, Ethancarbonsäure,
Metacetonsäure",,"Der Abbau von Propionsäure verbraucht Vitamin B12, was einen bei Betroffenen häufigen B12-Mangel zusätzlich verstärkt."
?,,,,,"E281, Natriumpropionat",,
?,,,,,"E282, Calciumpropionat, Calciumdipropionat",,
?,,,,,"E283, Kaliumpropionat",,
?,,,,,"E284, Borsäure",,"Sehr, giftig, besonders besorgniserregend, fortpflanzungsgefährdend!"
?,,,,,"E285, Borax, Tinkal, Natriumborat, Dinatriumtetraborat-
Decahydrat",,Sehr giftig. Nur in Kaviar zugelassen.
0,,,,,"E290, Kohlendioxid gasförmig, Kohlenstoffdioxid,
Kohlensäureanhydrid",,Nur in grossen Mengen und nur kurzzeitig Symptome auslösend (z.B. kohlensäurehaltige Getränke).
0,,,,,"E296, Apfelsäure, Äpfelsäure, 2-Hydroxybutandisäure, 2-
Hydroxybernsteinsäure",,
?,,,,,"E297, Fumarsäure, trans-Butendisäure, trans-
Ethylendicarbonsäure, (E)-Butendisäure",,
0,,,,,"E300, Ascorbinsäure, Vitamin C",,"Senkt den Histaminspiegel, ist aber gleichzeitig ein schwacher DAO-
Hemmer. Gut bei MCAS, schlecht bei HIT?"
0,,,,,"E301, Natriumascorbat, Sodascorbat, Mononatrium ascorbat",,
0,,,,,"E302, Calciumascorbat, Calciumdiascorbat, Calcium-L-
Ascorbat",,
0,,,,,"E304, Ascorbylpalmitat",,
0,,,,,"E306, Tocopherol, Vitamin E, tocopherolhaltige Extrakte",,
0,,,,,"E307, alpha-Tocopherol, α-Tocopherol, Vitamin E",,
0,,,,,"E308, gamma-Tocopherol, γ-Tocopherol, Vitamin E",,
0,,,,,"E309, delta-Tocopherol, Vitamin E",,
2,,,L,,"E310, Propylgallat, Propylgallat, E310",,
2,,,L,,"E311, Octylgallat",,
2,,,L,,"E312, Dodecylgallat, Laurylgallat, Gallussäuredodecylester,
Gallussäurelaurylester",,
0,,,,,"E315, Isoascorbinsäure, Erythorbinsäure, Isovitamin C",,
0,,,,,"E316, Natriumisoascorbat, Natriumerythorbat",,
?,,,,,"E319, 2-tert-Butylhydrochinon, tert-Butylhydrochinon, TBHQ",,
2,,,L,,"E320, Butylhydroxyanisol, BHA",,
2,,,L,,"E321, Butylhydroxytoluol, Butylhydroxytoluen, BHT",,
0,,,,,"E322, Lecithine, Lezithine",,Meist Soja-Lecithin
0,,,,,"E325, Natriumlactat",,
0,,,,,"E326, Kaliumlactat",,
0,,,,,"E327, Calciumlactat, Kalziumlaktat",,
1,,,,,"E330, Citronensäure",,"Verträglichkeit umstritten. Aus Schimmelpilz hergestellt. Hat nichts mit
Zitronen zu tun, sondern heisst bloss so."
1,,,?,,"E331, Natriumcitrat, Trinatriumcitrat, Natriumzitrat, Trinatriumzitrat",,Oft gut verträglich.
1,,,?,,"E332, Kaliumcitrat",,Oft gut verträglich.
1,,,?,,"E333, Calciumcitrat, Tricalciumcitrat, Tricalciumdicitrat",,Oft gut verträglich.
0,,,,,"E334, Weinsäure, 2,3-Dihydroxybernsteinsäure, 2,3- Dihydroxybutandisäure, Threarsäure, Traubensäure
(Racemat)",,
0,,,,,"E335, Natriumtartrat",,Siehe auch: Weinsteinbackpulver
0,,,,,"E336, Weinsteinbackpulver, Kaliumtartrat",,
1,,,?,,"E340, Kaliumphosphate: Kaliumdihydrogenphosphat (KH2PO4, Monokaliumphosphat), Dikaliumhydrogenphosphat (K2HPO4, Dikaliumphosphat), Kaliumphosphat (K3PO4, Trikaliumphosphat)",,
1,,,?,,"E341, Calciumphosphate: Calciumdihydrogenphosphat (CaH2PO4, Monocalciumphosphat), Dicalciumhydrogenphosphat (Ca2HPO4, Dicalciumphosphat), Calciumphosphat (Ca3PO4, Tricalciumphosphat)",,
1,,,?,,"E380, Ammoniumcitrat, Triammoniumcitrat,
Ammoniumcitrat tribasisch",,
2,,,L,,"E400, Alginsäure, Algin",,
2,,,L,,"E401, Natriumalginat",,
2,,,L,,"E402, Natriumalginat",,
2,,,L,,"E403, Ammoniumalginat",,
2,,,L,,"E404, Calciumalginat, Kalziumalginat",,
2,,,L,,"E405, Alginat, Algin, Propylenglycolalginat",,
1,,,?,,"E406, Agar-Agar",,
2,,,L,,"E407, E407a, Carrageen, Karrageen",,
2,,,L,,"E410, Johannisbrotkernmehl, Carubin, Carubenmehl",,Aus den Samen des Johannisbrotbaums gewonnen. Verdickungsmittel.
1,,,L,,"E412, Guarkernmehl",,
2,,,L,,"E413, Traganth, Tragant",,
1,,,L,,"E414, Gummi arabicum, Gummiarabikum",,
0,,,,,"E415, Xanthan, Xantan, Xanthangummi",,
1,,,L,,"E416, Karaya, Indischer Traganth, Karayagummi, Sterculia-
Gummi",,
0,,,,,"E421, Mannit, Mannitol",,
0,,,,,"E422, Glycerin, Glycerol, Glyzerin, Propan-1,2,3-triol, 1,2,3-
Propantriol, Propantriol",,
0,,,,,"E440, Pektin",,
1,?,,?,,"E441, Gelatine",,"Umstritten, kann auch verträglich sein."
2,,,?,,"E452, Polyphosphate: Natrium-, Kalium-, Natriumcalcium-
und Calcium-Polyphosphat",,
0,,,,,"E460, Cellulose, Zellulose, mikrokristalline Cellulose,
Cellulosepulver",,
0,,,,,"E461, Methylcellulose, Methylzellulose, Cellulosemethylether",,Kann in grösseren Mengen abführend wirken.
0,,,,,"E462, Ethylcellulose, Ethylzellulose, Celluloseethylether",,
0,,,,,"E463, Hydroxypropylcellulose",,
0,,,,,"E464, Hydroxypropylmethylcellulose, Hypromellose, Hypromellosum, Methylhydroxypropylzellulose, 2-
Hydroxypropylmethylcellulose, 2-
Hydroxypropylcellulosemethylether, Cellulosehydroxypropylmethylether, HPMC",,
0,,,,,"E465, Ethyl Methylcellulose, Ethylmethylcellulose",,
?,,,,,"E466, Carboxymethylcellulosen, Carmellose",,
0,,,,,"E500, Natriumcarbonat, Natriumkarbonat, Soda, calcinierte
Soda, einfach kohlensaures Natron, Na2CO3",,
0,,,,,"E500ii, Natron, Natriumhydrogencarbonat, Natriumhydrogenkarbonat, Natriumbicarbonat, Natriumbikarbonat, Backsoda, doppeltkohlensaures Natron,
NaHCO3",,
0,,,,,"E501, Kaliumcarbonat, Kaliumkarbonat, Pottasche, K2CO3",,
0,,,,,"E503, Ammoniumcarbonat, kohlensaures Ammonium,
Diammoniumcarbonat",,
0,,,,,"E504, Magnesiumcarbonat",,
0,,,,,"E507, Salzsäure, Chlorwasserstoffsäure, acidum
hydrochloricum",,
0,,,,,"E579, Eisengluconat",,
2,,,L,,"E620, Glutaminsäure, (Glutamat)",,
2,,,L,,"E620-E625, Glutamate, Geschmacksverstärker",,
2,,,L,,"E621, Mononatriumglutamat, Natriumglutamat",,
2,,,L,,"E622, Monokaliumglutamat, Kaliumglutamat",,
2,,,L,,"E623, Calciumdiglutamat, Calciumglutamat, Kalziumglutamat",,
2,,,L,,"E624, Monoammoniumglutamat, Ammoniumglutamat",,
2,,,L,,"E625, Magnesiumdiglutamat, Magnesiumglutamat",,
0,,,,,"E626, Guanosinmonophosphat, Guanylsäure, Guanylat,
Guanosin-5′-monophosphat",,
0,,,,,"E650, Zinkacetat",,
?,,,,,"E900, Polydimethylsiloxan, PDMS, Dimeticon, Dimethicone,
Dimethylpolysiloxan",,
0,,,,,"E901, Bienenwachs, cera flava, cera alba",,
0,,,,,"E955, Sucralose",,
0,,,,,"E960, Steviosid, Steviol-Glykosid",,
0,,,,,"Eisengluconat, E579",,
0,,,,,"Eisenoxide, Eisenhydroxide, E172",,
3,,,L,,"Erythrosin, E127",,
0,,,,,"Essigsäure, E260",,
0,,,,,"Ethyl Methylcellulose, E465",,
0,,,,,"Ethylcellulose, Ethylzellulose, Celluloseethylether, E462",,
2,,,L,,"Ethylparaben, E214, E215",,
1,,,L,,"Flavinmononukleotid, E101a",,
?,,,,,"Fumarsäure, trans-Butendisäure, E297",,
0,,,,,"gamma-Tocopherol, Vitamin E, E308",,
